"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc time [min]"
AVC;102.76;31.05;41.92;0.10
AVC;294.28;38.77;85.69;0.15
AVC;485.49;41.70;94.83;0.18
AVC;678.19;43.52;97.04;0.20
AVC;873.33;44.90;97.97;0.21
AVC;1066.07;45.91;98.47;0.23
AVC;1261.41;46.78;98.75;0.25
AVC;1454.41;47.51;98.97;0.26
AVC;1652.37;48.20;99.12;0.27
AVC;1843.33;48.76;99.23;0.28
HEVC;99.78;35.26;59.23;0.95
HEVC;297.80;40.76;92.41;1.37
HEVC;491.40;43.20;96.67;1.57
HEVC;690.19;44.87;97.94;1.73
HEVC;884.87;46.10;98.47;1.85
HEVC;1085.32;47.12;98.79;1.97
HEVC;1272.61;47.91;99.00;2.04
HEVC;1460.93;48.59;99.15;2.12
HEVC;1656.19;49.21;99.2;2.24
HEVC;1850.44;49.77;99.3;2.29
AOM;109.6;37.23;72.13;1.84
AOM;296.0;41.97;95.07;2.78
AOM;485.9;44.30;97.94;3.39
AOM;672.4;45.82;98.6;3.75
AOM;838.5;46.88;98.89;4.03
AOM;993.7;47.72;99.08;4.36
AOM;1150.9;48.48;99.22;4.65
AOM;1298.7;49.10;99.3;4.95
AOM;1447.1;49.65;99.39;5.17
AOM;1592.4;50.13;99.45;5.39
SVTAV1;92.75;36.46;65.79;3.79
SVTAV1;271.58;41.40;93.43;4.60
SVTAV1;446.55;43.75;97.35;5.14
SVTAV1;617.93;45.27;98.25;5.61
SVTAV1;787.03;46.43;98.67;5.89
SVTAV1;909.73;47.15;98.89;6.10
SVTAV1;1024.53;47.76;99.02;6.33
SVTAV1;1144.67;48.33;99.14;6.42
SVTAV1;1270.74;48.85;99.24;6.67
SVTAV1;1485.56;49.53;99.30;7.04
