"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
AOM;3325.6;32.27;72.94;7.78;31.60;13.72;3.4;7.78;4.60
AOM;5885.2;33.72;81.97;10.11;41.20;16.42;4.23;9.82;5.89
AOM;8348.1;34.52;86.93;12.23;50.78;18.25;4.76;11.11;6.72
AOM;12327.1;35.30;91.56;14.93;64.68;20.51;5.48;12.71;7.84
AOM;14642.2;35.59;93.19;16.25;72.40;20.99;5.77;13.50;8.27
AOM;16930.3;35.81;94.4;17.85;81.38;21.95;6.06;14.02;8.69
AOM;19071.6;35.99;95.31;19.58;91.20;22.46;6.32;14.60;9.15
AOM;21329.5;36.14;96.03;20.86;99.21;23.32;6.59;15.14;9.49
AOM;23843.1;36.27;96.66;22.80;110.51;23.98;6.91;15.78;9.95
AOM;26538.2;36.39;97.15;24.65;121.26;24.78;7.24;16.41;10.42
AOM;29200.8;36.48;97.55;26.23;130.93;25.39;7.48;16.95;10.82
SVT-AV1;4911.92;32.85;76.84;8.73;64.90;16.8;4.26;10.60;5.99
SVT-AV1;7035.38;33.75;82.99;10.6;75.88;19.9;5.01;12.55;7.10
SVT-AV1;8696.69;34.22;85.97;10.95;81.38;21.4;5.41;13.42;7.64
SVT-AV1;10615.74;34.64;88.55;11.40;86.30;22.33;5.83;14.45;8.24
SVT-AV1;12265.92;34.92;90.21;11.71;89.3;23.88;6.13;15.16;8.74
SVT-AV1;14263.3;35.19;91.71;12.56;95.8;25.12;6.38;15.74;9.10
SVT-AV1;15403.97;35.32;92.43;12.83;97.36;25.16;6.52;16.08;9.33
SVT-AV1;17655.11;35.56;93.64;13.45;102.26;25.97;6.81;16.71;9.75
SVT-AV1;19063.95;35.67;94.21;13.81;105.16;26.24;6.99;17.08;9.97
SVT-AV1;22292.01;35.88;95.23;14.68;112.5;27.23;7.36;17.66;10.52
SVT-AV1;27383.13;36.27;97.02;15.10;115.65;28.65;7.81;18.16;10.80
RAV1E;5202.39;32.54;75.66;14.58;49.91;20.83;3.3;8.91;5.04
RAV1E;7783.02;33.59;82.02;18.15;62.81;23.05;3.83;10.15;5.82
RAV1E;10378.12;34.27;86.06;20.91;72.90;24.84;4.31;11.19;6.57
RAV1E;12984.08;34.74;88.85;23.66;82.80;26.58;4.75;12.18;7.33
RAV1E;15606.25;35.09;90.87;26.15;91.61;28.07;5.11;13.11;7.94
RAV1E;18273.61;35.36;92.39;28.36;99.73;29.65;5.55;13.99;8.53
RAV1E;20972.44;35.58;93.57;30.23;106.40;31.26;5.9;14.79;9.17
RAV1E;23615.89;35.76;94.47;32.30;113.31;32.34;6.28;15.55;9.50
RAV1E;26261.37;35.91;95.21;33.96;119.85;33.91;6.57;16.42;10.11
RAV1E;28874.08;36.03;95.8;35.38;125.26;34.89;7.04;17.11;10.67
RAV1E;31528.35;36.14;96.25;36.86;130.60;36.3;7.5;17.98;11.21
AVC;5151.29;30.81;67.04;0.30;1.17;7.58;;;
AVC;7763.94;32.11;74.70;0.33;1.85;8.17;;;
AVC;10526.03;32.79;78.86;0.36;2.13;7.70;;;
AVC;13410.8;33.20;81.11;0.38;2.33;8.02;;;
AVC;16492.97;33.43;82.35;0.41;2.49;8.06;;;
AVC;19838.95;33.59;83.01;0.44;2.67;7.93;;;
AVC;23819.86;33.61;82.75;0.45;2.77;8.31;;;
AVC;28387.77;33.62;82.52;0.46;2.94;7.84;;;
AVC;33599.83;33.67;82.31;0.48;3.03;8.16;;;
AVC;38432.16;33.84;82.86;0.49;3.13;8.70;;;
AVC;43504.91;34.02;83.32;0.55;3.45;9.90;;;
HEVC;4904.89;32.44;76.06;1.68;12.86;10.55;;;
HEVC;7378.82;33.49;82.67;1.99;15.33;11.56;;;
HEVC;9902.42;34.21;86.96;2.18;16.72;12.71;;;
HEVC;12234.13;34.67;89.63;2.31;17.78;13.39;;;
HEVC;14864.75;35.06;91.75;2.46;18.92;14.27;;;
HEVC;17365.27;35.33;93.23;2.58;19.86;15.01;;;
HEVC;19810.82;35.55;94.28;2.69;20.68;15.72;;;
HEVC;22062.24;35.71;95.01;2.77;21.36;16.24;;;
HEVC;24395.82;35.86;95.69;2.89;22.21;17.05;;;
HEVC;27043.78;35.98;96.19;2.98;22.87;17.71;;;
HEVC;29104.02;36.07;96.56;3.05;23.45;18.29;;;
