"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc time [min]"
"AVC";5058.10;31.29;69.90;1.11
"AVC";7626.08;32.73;78.54;1.41
"AVC";10174.05;33.60;83.64;1.63
"AVC";12851.01;34.21;87.17;1.81
"AVC";15515.25;34.64;89.63;1.93
"AVC";18219.56;34.96;91.39;2.10
"AVC";21109.26;35.19;92.60;2.23
"AVC";23871.42;35.37;93.46;2.35
"AVC";26772.56;35.49;94.05;2.48
"AVC";29506.14;35.59;94.56;2.68
"AVC";32325.68;35.67;94.65;2.70
"HEVC";4780.46;32.35;75.61;14.48
"HEVC";7165.19;33.44;82.32;16.90
"HEVC";9547.92;34.13;86.54;18.63
"HEVC";12038.31;34.65;89.54;20.58
"HEVC";14327.95;34.99;91.43;20.88
"HEVC";16863.70;35.28;93.03;22.18
"HEVC";19213.31;35.50;94.13;23.85
"HEVC";21557.96;35.68;94.98;24.68
"HEVC";24379.08;35.86;95.83;25.78
"HEVC";26588.03;35.97;96.27;26.36
"HEVC";29237.62;36.09;96.75;26.95
"AOM";5160.8;33.43;80.35;40.18
"AOM";7626.2;34.35;86.34;50.85
"AOM";10042.4;34.93;89.85;60.3
"AOM";12468.1;35.34;92.21;69.8
"AOM";14883.2;35.64;93.91;82.16
"AOM";17335.5;35.88;95.17;93.38
"AOM";19770.2;36.07;96.15;104.28
"AOM";22161.1;36.22;96.83;111.88
"AOM";24721.8;36.36;97.41;119.5
"AOM";27169.6;36.47;97.87;131.11
"AOM";29605.3;36.57;98.25;140.60
"SVT-AV1";4732.33;32.83;76.84;62.73
"SVT-AV1";7237.40;33.90;83.81;72.98
"SVT-AV1";9637.86;34.54;87.78;79.56
"SVT-AV1";11923.98;34.97;90.36;84.68
"SVT-AV1";14240.43;35.29;92.19;89.73
"SVT-AV1";16649.30;35.55;93.58;94.11
"SVT-AV1";18902.62;35.74;94.67;97.65
"SVT-AV1";21299.75;35.91;95.53;102.58
"SVT-AV1";23681.10;36.05;96.24;107.96
"SVT-AV1";26025.77;36.17;96.78;112.96
"SVT-AV1";28418.80;36.29;97.19;118.51
