"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc time [min]"
AVC;101.09;19.73;6.21;0.10
AVC;296.28;26.72;53.99;0.16
AVC;499.85;29.28;72.44;0.20
AVC;703.83;30.76;81.3;0.23
AVC;899.67;31.75;86.68;0.25
AVC;1096.53;32.49;89.99;0.27
AVC;1295.30;33.06;92.42;0.28
AVC;1490.43;33.51;94.1;0.29
AVC;1686.86;33.88;95.53;0.30
AVC;1885.13;34.20;96.59;0.31
HEVC;117.97;23.11;14.91;1.27
HEVC;304.31;29.65;76.1;1.38
HEVC;488.69;31.44;86.55;1.53
HEVC;690.38;32.65;92.1;1.69
HEVC;891.48;33.44;95.22;1.77
HEVC;1085.21;33.97;97.07;1.85
HEVC;1288.81;34.39;98.29;1.96
HEVC;1483.46;34.70;98.86;1.99
HEVC;1681.92;34.96;99.12;2.10
HEVC;1876.57;35.17;99.24;2.14
AOM;182.1;29.49;76.20;3.99
AOM;250.7;31.07;85.60;5.03
AOM;475.0;32.73;93.73;8.02
AOM;645.9;34.08;98.57;7.91
AOM;824.9;34.88;99.3;8.94
AOM;1015.0;35.48;99.53;9.89
AOM;1193.8;35.85;99.61;11.32
AOM;1399.4;36.10;99.68;11.62
AOM;1588.0;36.33;99.71;12.47
AOM;1760.2;36.51;99.72;13.05
SVTAV1;281.29;28.14;66.30;8.51
SVTAV1;292.72;28.27;67.2;8.67
SVTAV1;485.11;30.22;80.09;9.57
SVTAV1;675.76;31.73;88.1;10.04
SVTAV1;864.37;32.98;93.86;10.31
SVTAV1;1053.53;33.87;97.10;10.65
SVTAV1;1250.89;34.52;98.64;11.06
SVTAV1;1441.72;34.99;99.18;11.46
SVTAV1;1630.36;35.33;99.37;12.06
SVTAV1;1817.32;35.62;99.47;12.40
