"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc time [min]"
"AVC";395.72;33.86;60.71;0.41
"AVC";696.53;37.82;82.81;0.46
"AVC";988.19;39.44;90.31;0.55
"AVC";1286.84;40.43;93.84;0.63
"AVC";1483.36;40.89;95.17;0.66
"AVC";2183.44;41.96;97.46;0.75
"AVC";2887.71;42.59;98.37;0.81
"AVC";3596.80;42.99;98.78;0.91
"AVC";4299.26;43.27;99.02;0.98
"AVC";5023.88;43.49;99.16;1.5
"HEVC";294.19;37.40;79.86;4.11
"HEVC";392.63;38.60;85.90;4.48
"HEVC";491.49;39.41;89.48;4.65
"HEVC";586.71;40.04;91.92;4.83
"HEVC";688.40;40.54;93.61;5.18
"HEVC";980.55;41.55;96.14;5.61
"HEVC";1287.02;42.18;97.29;6.23
"HEVC";1491.97;42.50;97.74;6.35
"HEVC";2194.89;43.21;98.49;7.38
"HEVC";2901.67;43.60;98.80;8.13
"HEVC";3605.22;43.87;98.96;8.56
"HEVC";4320.32;44.08;99.07;9.6
"HEVC";5033.83;44.22;99.13;9.46
"AOM";106.2;35.58;68.85;6.45
"AOM";287.3;39.62;89.62;9.55
"AOM";380.2;40.52;93.01;10.73
"AOM";514.9;41.42;95.79;11.43
"AOM";651.7;42.01;97.06;11.83
"AOM";924.5;42.81;98.34;13.90
"AOM";1173.1;43.27;98.84;15.18
"AOM";1339.2;43.52;99.05;16.8
"AOM";1901.3;44.05;99.39;20.16
"AOM";2438.6;44.35;99.51;23.25
"AOM";3015.5;44.58;99.59;26.43
"AOM";3633.3;44.79;99.63;31.78
"AOM";4341.5;44.97;99.68;38.68
"SVT-AV1";171.80;34.18;57.69;18.6
"SVT-AV1";391.41;38.23;82.62;20.85
"SVT-AV1";588.82;39.94;90.18;21.61
"SVT-AV1";685.05;40.50;92.26;22.73
"SVT-AV1";969.41;41.66;95.84;24.73
"SVT-AV1";1250.31;42.38;97.43;27.51
"SVT-AV1";1436.15;42.74;98.04;28.88
"SVT-AV1";2083.83;43.55;98.96;35.35
"SVT-AV1";2743.93;44.02;99.28;43.36
"SVT-AV1";3412.52;44.31;99.41;49.48
"SVT-AV1";4039.86;44.51;99.49;51.80
"SVT-AV1";4503.49;44.62;99.53;53.20
