"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
AOM;371.2;32.19;63.24;4.66;11.81;6.44;1.68;2.87;2.01
AOM;410.2;32.51;65.1;4.8;12.25;6.49;1.86;2.97;2.10
AOM;718.7;34.65;77.34;6.41;16.16;7.67;2.03;3.82;2.59
AOM;999.3;35.88;84.23;7.61;18.73;8.57;2.32;4.39;2.96
AOM;1136.3;36.33;86.61;8.33;19.61;9.05;2.4;4.69;3.27
AOM;1264.5;36.73;88.63;8.81;20.66;9.83;2.61;4.98;3.41
AOM;1519.9;37.34;91.63;9.16;24.1;9.89;2.84;5.15;3.59
AOM;1764.5;37.83;93.86;9.41;24.53;10.37;3.01;5.38;3.74
AOM;2008.5;38.24;95.5;9.53;25.68;10.63;3.27;5.53;3.97
AOM;2387.5;38.77;97.44;9.98;26.63;11.36;3.17;5.88;4.17
AOM;2765.9;39.18;98.65;10.71;29.38;11.94;2.6;6.16;4.36
AOM;3124.2;39.52;99.33;11.93;32.61;13.07;2.84;6.54;4.49
AOM;3490.2;39.8;99.73;12.95;35.91;13.33;2.78;6.83;4.63
AOM;3869.7;40.07;99.89;13.5;37.88;13.53;2.54;7.08;4.79
AOM;4249.9;40.3;99.95;13.88;39.41;14.56;2.69;7.47;5.07
AOM;4636.3;40.52;99.97;14.56;41.8;14.62;2.5;7.73;5.26
AOM;5018.5;40.71;99.97;16.38;45.53;15.12;2.64;8.01;5.46
AOM;5404.3;40.88;99.98;17.1;49.18;15.47;2.46;8.27;5.66
SVT-AV1;696.22;33.57;70.45;4.86;27.96;7.18;2.23;3.96;2.55
SVT-AV1;887.75;34.59;76.75;5.2;30.21;7.79;2.29;4.45;2.79
SVT-AV1;1084.57;35.38;81.32;5.75;31.68;8.72;2.59;4.80;2.98
SVT-AV1;1269.58;35.99;84.74;6.1;33.41;8.97;2.75;5.10;3.16
SVT-AV1;1478.98;36.56;87.8;6.2;40.4;9.3;2.83;5.39;3.36
SVT-AV1;1767.53;37.19;90.97;6.38;42.66;9.88;3.11;5.76;3.56
SVT-AV1;2049.63;37.69;93.2;6.86;45.61;10.55;3.27;6.07;3.75
SVT-AV1;2343.53;38.13;95.04;7.28;47.93;10.89;3.46;6.37;4.00
SVT-AV1;2648.4;38.53;96.45;7.51;49.55;11.32;3.58;6.68;4.17
SVT-AV1;2945.35;38.85;97.37;7.96;51.93;11.95;3.72;7.00;4.36
SVT-AV1;3228.21;39.11;97.99;8.8;54.58;12.49;3.84;7.28;4.55
SVT-AV1;3526.77;39.37;98.46;8.16;55.13;12.68;3.93;7.52;4.68
SVT-AV1;3813.13;39.58;98.82;8.33;56.8;12.95;4.12;7.72;4.85
SVT-AV1;4109.15;39.79;99.08;8.53;58.15;13.24;4.43;8.02;5.03
SVT-AV1;4387.6;39.98;99.29;8.63;58.95;13.59;4.51;8.29;5.22
SVT-AV1;4676.94;40.16;99.47;9.21;60.86;14.6;4.63;8.54;5.37
SVT-AV1;4940.24;40.28;99.49;9.35;61.86;14.63;4.7;8.75;5.53
SVT-AV1;5251.77;40.45;99.62;9.46;62.6;14.67;5.01;9.10;5.69
RAV1E;300.48;29.35;44.8;5.61;18.23;6.82;1.58;2.87;1.74
RAV1E;493.99;31.28;56.18;6.83;22.33;6.96;1.71;3.32;2.09
RAV1E;690.67;32.63;64.91;7.71;27.68;7.54;1.77;3.70;2.35
RAV1E;886.74;33.66;71.37;8.56;30.48;8.24;1.88;4.02;2.56
RAV1E;1083.34;34.48;76.72;9.9;32.6;8.8;2.03;4.26;2.75
RAV1E;1376.79;35.42;82.39;11.11;36.31;9.67;2.17;4.61;3.02
RAV1E;1669.43;36.19;86.59;12.53;40.56;9.92;2.51;4.97;3.20
RAV1E;1963.54;36.79;89.7;14.1;45.95;10.57;2.78;5.30;3.42
RAV1E;2256.4;37.3;92.07;15.2;49.71;11.27;2.82;5.60;3.64
RAV1E;2551.18;37.72;93.91;16.11;52.85;11.86;2.86;5.90;3.80
RAV1E;2844.68;38.09;95.32;17.1;56.45;11.95;2.89;6.16;4.01
RAV1E;3140.62;38.41;96.38;18.5;60.53;12.43;3.13;6.42;4.22
RAV1E;3437.69;38.69;97.24;18.83;62.41;12.98;3.51;6.66;4.36
RAV1E;3732.55;38.92;97.88;19.25;64.3;13.26;3.54;6.89;4.56
RAV1E;4030.06;39.16;98.41;20.15;67.21;13.84;3.68;7.15;4.71
RAV1E;4323.48;39.37;98.81;20.91;69.85;14.67;4.03;7.37;4.82
RAV1E;4626.13;39.56;99.09;21.48;72.13;14.85;4.07;7.60;4.97
RAV1E;4923.2;39.73;99.35;22.2;74.68;15.27;4.1;7.86;5.14
AVC;308.69;24.57;27.74;0.06;0.31;1.76;;;
AVC;513.29;26.23;34.31;0.07;0.41;1.99;;;
AVC;702.76;28.55;43.51;0.08;0.48;2.47;;;
AVC;874.3;30.64;54.28;0.09;0.56;2.63;;;
AVC;1057.35;31.9;62.02;0.09;0.60;2.76;;;
AVC;1335.19;33.2;70.34;0.12;0.81;2.92;;;
AVC;1614.76;34.17;76.45;0.12;0.82;3.00;;;
AVC;1891.04;34.93;81.09;0.12;0.80;3.11;;;
AVC;2167.83;35.55;84.68;0.15;1.03;3.28;;;
AVC;2444.98;36.08;87.52;0.15;0.98;3.22;;;
AVC;2718.23;36.53;89.8;0.15;1.02;3.07;;;
AVC;2989.7;36.93;91.71;0.16;1.06;3.16;;;
AVC;3261.67;37.27;93.27;0.16;1.11;3.25;;;
AVC;3542.31;37.59;94.63;0.17;1.16;3.31;;;
AVC;3811.01;37.86;95.62;0.18;1.18;3.43;;;
AVC;4088.64;38.11;96.47;0.18;1.22;3.45;;;
AVC;4359.18;38.34;97.14;0.19;1.28;3.67;;;
AVC;4634.39;38.54;97.61;0.19;1.28;4.03;;;
HEVC;264.11;28.92;43.35;0.35;2.59;3.24;;;
HEVC;462.18;31.42;58.68;0.46;3.44;3.48;;;
HEVC;644.96;32.79;67.46;0.58;4.26;3.41;;;
HEVC;826.94;33.83;74.02;0.64;4.73;3.50;;;
HEVC;1004.37;34.64;79.09;0.67;4.97;3.60;;;
HEVC;1272.47;35.59;84.57;0.71;5.26;3.77;;;
HEVC;1532.22;36.3;88.34;0.76;5.67;3.94;;;
HEVC;1796.13;36.88;91.26;0.80;5.96;4.01;;;
HEVC;2057.67;37.35;93.4;0.84;6.24;3.89;;;
HEVC;2311.97;37.75;95.02;0.86;6.47;3.98;;;
HEVC;2567.24;38.1;96.24;0.88;6.63;4.09;;;
HEVC;2830.89;38.42;97.22;0.92;6.89;4.23;;;
HEVC;3079.94;38.69;97.96;0.94;7.07;4.41;;;
HEVC;3332.71;38.93;98.52;0.97;7.35;4.93;;;
HEVC;3594.47;39.16;98.98;1.00;7.58;5.04;;;
HEVC;3840.63;39.35;99.28;1.02;7.66;5.16;;;
HEVC;4094.44;39.54;99.51;1.05;7.93;5.30;;;
HEVC;4352.67;39.71;99.65;1.08;8.15;4.93;;;
