Sequence;Device;App;Media type;Codec;Width;Height;FPS;Duration (sec);Timestamp;% CPU;% MEM
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;0;9.0;5.6
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;12;9.3;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;25;11.3;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;37;11.2;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;50;10.1;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;62;9.3;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;75;8.9;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;87;10.4;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;100;11.0;6.1
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;112;11.8;6.1
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;0;5.3;5.1
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;12;4.3;5.4
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;25;3.9;5.4
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;37;3.7;5.4
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;50;3.7;5.4
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;62;3.6;5.4
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;75;3.5;5.5
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;87;3.5;5.5
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;100;3.5;5.5
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;112;3.6;5.5
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;0;3.5;5.6
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;12;3.5;5.5
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;25;3.4;5.5
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;37;3.5;5.5
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;50;3.5;5.5
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;62;3.5;5.5
