"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
AOM;91.2;35.71;81.74;1.26;2.55;0.81;0.22;0.40;0.30
AOM;183.2;38.72;90.22;1.41;2.86;0.99;0.28;0.44;0.34
AOM;275.5;40.23;92.27;1.5;3.3;1.03;0.32;0.51;0.38
AOM;368.2;41.75;94.31;1.68;3.26;1.06;0.36;0.58;0.42
AOM;553.6;43.82;95.8;2.13;4.33;1.15;0.37;0.62;0.45
AOM;646.5;44.5;96.05;2.28;4.48;1.18;0.39;0.66;0.50
AOM;740.4;45.13;96.3;2.45;4.7;1.22;0.42;0.69;0.52
AOM;833.5;46.6;96.53;2.5;4.85;1.27;0.49;0.71;0.57
AOM;926.5;46.04;96.76;2.53;4.95;1.31;0.52;0.75;0.62
AOM;1018.7;46.57;96.89;2.56;5.3;1.34;0.55;0.79;0.65
AOM;1111.3;47.07;97.03;2.55;5.8;1.38;0.59;0.83;0.69
AOM;1204.2;47.34;97.16;2.7;5.41;1.42;0.6;0.86;0.73
AOM;1298.7;47.61;97.28;2.85;5.66;1.49;0.61;0.90;0.76
AOM;1392.2;47.93;97.35;2.93;5.78;1.53;0.62;0.95;0.83
AOM;1486.1;48.24;97.42;2.98;5.85;1.57;0.63;0.99;0.85
AOM;1669.4;48.72;97.54;3.5;6.23;1.63;0.72;1.05;0.88
AOM;1850.3;49.39;97.63;3.16;6.38;1.87;0.73;1.12;0.91
AOM;2036.3;49.83;97.73;3.45;7.18;1.94;0.76;1.18;0.94
SVT-AV1;90.01;33.94;73.66;0.65;3.93;0.69;0.18;0.37;0.27
SVT-AV1;183.79;36.71;85.62;0.73;4.43;0.8;0.23;0.46;0.29
SVT-AV1;261.22;38.26;89.95;0.81;4.85;0.88;0.26;0.52;0.33
SVT-AV1;342.6;39.55;92.49;0.85;5.6;0.97;0.29;0.56;0.37
SVT-AV1;429.07;40.58;93.87;0.9;5.43;1.12;0.31;0.61;0.40
SVT-AV1;580.21;41.99;95.41;0.98;5.96;1.16;0.35;0.67;0.43
SVT-AV1;657.83;42.56;95.86;1.3;6.1;1.24;0.37;0.70;0.46
SVT-AV1;705.75;42.85;96.13;1.6;6.33;1.25;0.38;0.75;0.49
SVT-AV1;821.67;43.5;96.59;1.1;6.6;1.3;0.41;0.77;0.52
SVT-AV1;936.01;44.02;96.89;1.18;7.1;1.36;0.49;0.80;0.54
SVT-AV1;1049.56;44.35;97.07;1.23;7.41;1.41;0.51;0.84;0.56
