"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
AOM;112.8;37.23;72.04;0.96;1.9;1.3;0.39;0.80;0.57
AOM;208.7;40.06;88.27;1.2;2.28;1.58;0.42;0.85;0.60
AOM;296.5;41.36;93.91;1.38;2.5;1.62;0.43;0.89;0.63
AOM;378.8;42.7;96.3;1.48;2.78;1.65;0.45;0.94;0.66
AOM;462.1;43.61;97.5;1.61;3.3;1.67;0.47;0.98;0.69
AOM;553.4;44.39;98.12;1.75;3.35;1.69;0.49;1.02;0.70
AOM;643.8;45.01;98.5;1.81;3.55;1.7;0.5;1.05;0.73
AOM;736.2;45.57;98.76;1.95;3.98;1.71;0.54;1.07;0.77
AOM;815.5;46.05;98.91;2.6;4.38;1.72;0.56;1.11;0.81
AOM;908.5;46.48;99.02;2.2;4.71;1.75;0.56;1.13;0.84
AOM;993.9;46.86;99.1;2.26;4.88;1.85;0.58;1.16;0.89
AOM;1069.6;47.23;99.16;2.35;5.35;1.89;0.59;1.21;0.92
AOM;1197.2;47.85;99.27;2.43;5.65;1.92;0.62;1.26;0.96
AOM;1345.8;48.42;99.36;2.5;5.78;1.97;0.64;1.32;1.01
AOM;1474.3;48.92;99.42;2.61;5.95;2.01;0.68;1.38;1.04
AOM;1662.3;49.39;99.47;2.7;6.6;2.05;0.7;1.46;1.05
AOM;1828.7;49.83;99.51;2.83;6.45;2.07;0.71;1.47;1.07
AOM;2057.8;50.6;99.58;2.93;6.71;2.1;0.74;1.50;1.10
SVT-AV1;97.15;36.59;66.41;0.7;4.5;1.13;0.35;0.62;0.46
SVT-AV1;184.45;39.56;85.9;0.81;4.41;1.38;0.37;0.75;0.53
SVT-AV1;272.82;41.36;93.01;0.88;4.65;1.42;0.41;0.82;0.59
SVT-AV1;362.61;42.65;95.81;0.96;4.78;1.45;0.43;0.88;0.61
SVT-AV1;443.49;43.6;97.07;1.1;4.96;1.61;0.44;0.93;0.64
SVT-AV1;530.6;44.42;97.62;1.6;5.11;1.69;0.47;0.98;0.68
SVT-AV1;619.85;45.14;98.06;1.13;5.33;1.73;0.48;1.02;0.69
SVT-AV1;683.21;45.6;98.36;1.16;5.6;1.75;0.5;1.04;0.71
SVT-AV1;741.43;45.99;98.52;1.18;5.85;1.77;0.51;1.07;0.73
SVT-AV1;791.22;46.28;98.63;1.23;6.2;1.83;0.52;1.10;0.74
SVT-AV1;839.55;46.56;98.71;1.26;6.61;1.84;0.53;1.12;0.78
SVT-AV1;886.53;46.78;98.8;1.28;6.81;1.85;0.54;1.14;0.78
SVT-AV1;966.96;47.3;98.9;1.33;6.86;1.88;0.59;1.17;0.80
SVT-AV1;1029.17;47.7;99.08;1.56;7.1;1.91;0.61;1.19;0.82
SVT-AV1;1175.06;48.37;99.21;1.61;7.21;1.92;0.62;1.25;0.86
SVT-AV1;1309.78;48.91;99.29;1.68;7.51;1.93;0.65;1.30;0.92
SVT-AV1;1457.01;49.43;99.38;1.75;7.71;1.94;0.68;1.34;0.95
SVT-AV1;1795.62;50.54;99.49;1.85;8.26;2.1;0.71;1.40;1.04
RAV1E;76.57;34.68;51.64;0.86;2.58;1.22;0.27;0.56;0.39
RAV1E;99.44;35.74;60.38;0.98;2.98;1.24;0.28;0.64;0.44
RAV1E;191.21;38.71;78.54;1.35;4.13;1.45;0.3;0.73;0.48
RAV1E;285.16;40.64;87.11;1.71;5.16;1.62;0.33;0.80;0.52
RAV1E;378.32;42.01;91.06;1.96;5.95;1.75;0.37;0.86;0.55
RAV1E;471.2;43.09;93.07;2.18;6.6;1.92;0.39;0.91;0.58
RAV1E;564.51;44.03;94.18;2.41;7.31;1.99;0.4;0.96;0.61
RAV1E;658.22;44.79;94.95;2.65;7.98;2.05;0.42;1.00;0.64
RAV1E;752.06;45.49;95.43;2.91;8.75;2.13;0.44;1.05;0.67
RAV1E;846.4;46.09;95.83;3.6;9.28;2.2;0.49;1.08;0.69
RAV1E;940.44;46.64;96.16;3.3;9.98;2.25;0.5;1.12;0.72
RAV1E;1035.5;47.14;96.38;3.4;10.31;2.28;0.51;1.16;0.75
RAV1E;1130.43;47.59;96.61;3.5;10.7;2.28;0.54;1.19;0.77
RAV1E;1322.46;48.39;96.95;3.85;11.31;2.39;0.57;1.22;0.80
