"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
AOM;185.2;29.5;76.01;2.15;4.46;1.7;0.66;1.02;0.74
AOM;284.1;31.09;85.16;3.31;5.45;2.19;0.77;1.17;0.86
AOM;523.7;33.2;94.96;4.98;9.5;3.2;0.8;1.36;0.98
AOM;775.5;34.5;98.64;5.36;10.48;3.3;0.88;1.51;1.07
AOM;1044.1;35.38;99.32;5.58;11.16;3.5;0.91;1.62;1.13
AOM;1181.4;35.67;99.43;5.66;11.95;3.5;1.1;1.70;1.21
AOM;1318.7;35.89;99.5;5.88;12.6;3.9;1.15;1.83;1.24
AOM;1588.4;36.22;99.56;6.1;12.98;4.2;1.24;1.92;1.38
AOM;1987.8;36.55;99.62;6.18;13.93;4.5;1.32;2.11;1.45
AOM;2716.5;36.92;99.67;7.4;17.21;4.8;1.42;2.20;1.57
AOM;3375.8;37.2;99.71;7.91;18.68;4.9;1.55;2.30;1.70
AOM;4023.1;37.4;99.73;8.9;21.58;5.1;1.72;2.50;1.84
AOM;4729.3;37.6;99.74;9.41;22.51;5.2;1.75;2.69;1.97
AOM;5449.2;37.73;99.75;9.51;23.31;5.2;1.94;2.83;2.12
AOM;5953.3;37.82;99.79;9.96;25.58;5.3;2.13;2.96;2.22
AOM;6519.01;37.93;99.8;10.35;26.35;5.6;2.15;3.16;2.40
AOM;7135.3;38.02;99.83;11.23;29.75;5.9;2.37;3.36;2.50
AOM;7739.02;38.1;99.84;11.71;32.11;6.2;2.49;3.52;2.60
SVT-AV1;457.36;28.77;68.12;1.85;11.3;3.9;0.62;1.22;0.83
SVT-AV1;688.32;31.01;83.28;1.98;11.53;4.01;0.82;1.39;0.98
SVT-AV1;898.76;32.38;90.68;2.46;11.93;3.62;1.11;1.55;1.16
SVT-AV1;1083.54;33.08;93.43;2.55;12.36;3.7;1.14;1.63;1.22
SVT-AV1;1342.7;33.76;95.51;2.65;14.7;3.9;1.25;1.79;1.38
SVT-AV1;1738.03;34.51;97.36;2.68;16.11;4.8;1.31;1.98;1.55
SVT-AV1;2077.07;35.02;98.32;2.86;17.35;4.84;1.32;2.14;1.69
SVT-AV1;2524.87;35.6;99.03;3.23;19.98;5.1;1.46;2.27;1.81
SVT-AV1;2972.34;35.83;99.31;3.51;21.75;5.2;1.51;2.53;1.98
SVT-AV1;3517.47;36.19;99.59;3.71;22.85;5.33;1.72;2.68;2.11
SVT-AV1;3887.49;36.37;99.68;3.9;23.93;5.63;1.8;2.80;2.18
SVT-AV1;4440.88;36.68;99.72;4.3;25.1;5.9;1.85;3.01;2.33
SVT-AV1;4824.65;36.83;99.73;4.23;25.98;6.45;2.09;3.14;2.42
SVT-AV1;5261.69;36.98;99.75;4.28;26.43;6.52;2.26;3.28;2.54
SVT-AV1;6071.09;37.18;99.75;4.3;27.33;6.9;2.33;3.54;2.70
SVT-AV1;6439.56;37.31;99.76;4.48;28.38;7.13;2.49;3.67;2.79
SVT-AV1;7171.49;37.46;99.76;4.53;28.66;7.3;2.63;3.93;2.94
SVT-AV1;7802.66;37.58;99.77;4.55;28.75;7.8;2.75;4.09;3.10
RAV1E;542.28;31.27;85.7;4.86;18.58;3.56;0.81;1.48;0.89
RAV1E;756.03;32.42;91.28;5.81;19.95;3.92;0.83;1.68;1.00
RAV1E;966.26;33.16;94.06;6.28;20.76;3.93;1.06;1.84;1.12
RAV1E;1176.34;33.7;96.03;7.21;21.16;4.62;1.22;1.99;1.23
RAV1E;1596.63;34.48;98.12;7.46;25.81;5.91;1.35;2.18;1.39
RAV1E;2121.6;35.12;99.08;7.56;26.1;6.54;1.42;2.48;1.56
RAV1E;2641.82;35.54;99.4;8.3;27.8;7.43;1.53;2.75;1.75
RAV1E;3159.25;35.85;99.53;8.5;29.36;7.51;1.64;2.99;1.90
RAV1E;3674.82;36.08;99.59;8.9;30.81;8.01;1.72;3.20;2.06
RAV1E;4188.8;36.28;99.63;9.25;32.21;8.39;1.87;3.42;2.23
RAV1E;4698.16;36.43;99.66;9.51;33.63;8.71;2.15;3.64;2.34
RAV1E;5213.9;36.58;99.68;9.85;34.23;9.25;2.2;3.88;2.48
RAV1E;5721.62;36.7;99.69;10.1;35.61;9.38;2.28;4.09;2.64
RAV1E;6236.97;36.81;99.71;10.43;36.85;9.4;2.45;4.30;2.76
RAV1E;6741.2;36.92;99.73;10.65;37.55;9.44;2.74;4.49;2.90
RAV1E;7253.72;37.02;99.75;10.75;37.88;9.8;2.87;4.73;3.02
RAV1E;7771.12;37.11;99.78;11.8;39.5;9.94;2.97;4.91;3.17
RAV1E;8291.77;37.2;99.79;11.46;40.46;10.01;3.05;5.05;3.31
AVC;458.85;28.55;67.75;;0.16;0.76;;;
AVC;651.01;30.26;78.61;;0.2;0.81;;;
AVC;849.56;31.39;84.85;;0.21;1.03;;;
AVC;1042.88;32.18;88.52;;0.23;1.4;;;
AVC;1445.35;33.33;93.53;;0.26;0.92;;;
AVC;1945.05;34.21;96.66;;0.3;0.99;;;
AVC;2446.85;34.78;98.14;;0.31;1.1;;;
AVC;2948.85;35.18;98.75;;0.35;1.16;;;
AVC;3450.84;35.47;99.02;;0.36;1.22;;;
AVC;3951.38;35.71;99.21;;0.38;1.25;;;
AVC;4450.64;35.9;99.31;;0.4;1.28;;;
AVC;4951.16;36.06;99.38;;0.43;1.31;;;
AVC;5458.18;36.2;99.45;;0.43;1.38;;;
AVC;5959.54;36.32;99.48;;0.45;1.42;;;
AVC;6469.39;36.43;99.53;;0.46;1.46;;;
AVC;6977.88;36.53;99.56;;0.46;1.47;;;
AVC;7489.06;36.64;99.59;;0.48;1.51;;;
AVC;7998.57;36.73;99.62;;0.5;1.59;;;
HEVC;451.58;30.89;83.86;;0.81;0.92;;;
HEVC;665.17;32.35;90.73;;0.86;0.99;;;
HEVC;875.48;33.23;94.36;;0.91;1.12;;;
HEVC;1086.97;33.86;96.52;;0.98;1.16;;;
HEVC;1507.18;34.66;98.52;;1.8;1.24;;;
HEVC;2024.81;35.29;99.23;;1.16;1.33;;;
HEVC;2522.85;35.7;99.44;;1.25;1.35;;;
HEVC;3024.21;35.98;99.52;;1.3;1.51;;;
HEVC;3525.88;36.2;99.55;;1.38;1.59;;;
HEVC;4007.48;36.37;99.58;;1.41;1.62;;;
