"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
AOM;132.7;31.26;78.53;1.36;2.9;1.35;0.38;0.53;0.44
AOM;264.4;32.69;87.54;2.26;4.88;1.69;0.47;0.76;0.55
AOM;347.9;33.34;90.69;3.13;6.98;1.89;0.52;0.86;0.67
AOM;423.5;33.82;92.81;3.1;6.65;1.88;0.54;0.90;0.74
AOM;534.3;34.73;96.12;3.5;7.91;2.16;0.61;1.03;0.80
AOM;632.3;34.71;96.07;3.28;7.41;2.01;0.59;1.02;0.85
AOM;778.6;35.09;97.37;3.66;8.36;2.18;0.67;1.10;0.92
AOM;913.6;35.29;97.94;3.48;7.76;2.24;0.69;1.17;1.01
AOM;1086.8;35.5;98.52;4.3;9.16;2.29;0.71;1.24;1.07
AOM;1441.8;35.79;99.16;4.16;9.75;2.48;0.78;1.38;1.18
AOM;1767.5;35.95;99.42;4.41;10.33;2.52;0.86;1.33;1.31
AOM;2037.5;36.16;99.74;4.91;11.38;2.7;0.96;1.40;1.49
AOM;2667.6;36.34;99.85;5.55;13.6;3.01;1.06;1.46;1.64
AOM;3322.1;36.49;99.89;5.96;14.35;3.18;1.12;1.61;1.75
AOM;3846.4;36.57;99.92;6.73;16.41;3.47;1.26;1.78;1.82
AOM;4624.8;36.68;99.94;7.58;18.61;3.69;1.39;2.01;1.97
AOM;5462.8;36.8;99.95;8.25;20.55;4.02;1.59;2.18;2.08
AOM;6076.5;36.89;99.97;9.5;22.78;4.93;1.68;2.43;2.22
SVT-AV1;519.16;33.54;90.92;1.86;12.85;2.48;0.63;1.19;1.00
SVT-AV1;720.75;34.22;93.71;1.95;13.46;4.4;0.98;1.22;1.09
SVT-AV1;813.58;34.41;94.42;2.3;13.78;4.2;1.01;1.30;1.14
SVT-AV1;877.35;34.57;95.09;2.18;14.21;4.5;0.99;1.33;1.19
SVT-AV1;1002.68;34.84;96.1;2.4;14.7;4.87;1.02;1.37;1.24
SVT-AV1;1114.76;35.01;96.63;2.46;15.61;4.7;0.88;1.45;1.30
SVT-AV1;1201.72;35.14;97.02;2.51;15.95;4.1;1.03;1.49;1.34
SVT-AV1;1288.63;35.26;97.42;2.7;16.63;4.9;1.16;1.54;1.39
SVT-AV1;1406.59;35.43;97.93;2.8;18.55;3.8;1.38;1.60;1.53
SVT-AV1;1972.35;36.01;98.96;3.8;20.51;5.48;1.33;1.78;1.80
SVT-AV1;2452.11;36.15;99.33;3.38;22.31;5.77;1.72;2.15;2.03
SVT-AV1;2950.61;36.36;99.57;3.6;23.78;6.38;1.78;2.51;2.26
SVT-AV1;3486.19;36.56;99.74;3.85;25.18;7.58;2.38;2.87;2.50
SVT-AV1;4021.84;36.72;99.84;4.18;26.68;5.93;2.69;3.25;2.70
SVT-AV1;4469.27;36.84;99.88;4.41;27.73;7.51;2.64;3.54;2.92
SVT-AV1;4953.33;36.98;99.91;4.5;28.93;8.85;2.75;3.81;3.19
SVT-AV1;5506.47;37.1;99.93;4.65;29.56;8.44;2.93;4.09;3.29
SVT-AV1;6016.18;37.23;99.96;4.78;30.51;7.38;3.01;4.34;3.46
RAV1E;116.36;27.54;44.8;2.55;8.21;2.1;0.49;0.83;0.42
RAV1E;329.49;31.43;79.52;3.13;9.58;2.64;0.67;1.08;0.61
RAV1E;549.73;32.9;88.22;3.55;10.98;2.89;0.71;1.27;0.75
RAV1E;655.48;33.31;90.34;3.86;12.78;3.1;0.83;1.43;0.85
RAV1E;775.52;33.68;91.95;4.3;13.98;3.31;0.98;1.57;0.95
RAV1E;973.31;34.06;93.43;4.21;14.6;3.47;1.07;1.66;1.03
RAV1E;1195.49;34.35;94.49;4.36;15.41;3.75;1.1;1.77;1.09
RAV1E;1408.22;34.57;95.24;4.45;15.83;4.03;1.12;1.89;1.15
RAV1E;1611.21;34.72;95.77;5.16;16.96;4.2;1.25;2.11;1.31
RAV1E;2122.2;35.03;96.71;5.95;18.5;4.57;1.35;2.36;1.46
RAV1E;2622.69;35.2;97.26;6.53;19.85;4.96;1.36;2.58;1.54
RAV1E;3119.68;35.34;97.64;7.6;22.16;5.42;1.57;2.81;1.61
RAV1E;3623.93;35.47;97.99;7.7;23.73;5.69;1.74;3.02;1.77
RAV1E;4135.88;35.6;98.28;8.4;25.96;5.98;2.11;3.24;1.89
RAV1E;4639.37;35.69;98.48;8.8;26.76;6.5;2.14;3.42;2.03
RAV1E;5144.36;35.78;98.62;9.38;28.38;7.03;2.19;3.69;2.15
RAV1E;5661.35;35.86;98.75;9.93;29.95;6.88;2.7;3.90;2.30
RAV1E;6149.3;35.93;98.82;10.71;32.13;7.86;2.72;4.14;2.46
AVC;257.12;27.06;42.7;;0.13;0.76;;;
AVC;436.1;29.81;65.55;;0.2;0.89;;;
AVC;624.99;31.31;76.66;;0.25;0.93;;;
AVC;816.31;32.27;81.36;;0.28;0.95;;;
AVC;1012.89;32.9;82.65;;0.3;1.07;;;
AVC;1212.39;33.37;86.32;;0.33;1.08;;;
AVC;1413.49;33.72;88.77;;0.35;1.12;;;
AVC;1909.48;34.27;93.09;;0.36;1.15;;;
